"Reference","Qty","Value","DNP","Footprint","Datasheet"
"C1,C3,C5","3","22u","","Capacitor_SMD:C_1206_3216Metric","~"
"C2","1","10n","","Capacitor_SMD:C_0805_2012Metric","~"
"C4","1","220p","","Capacitor_SMD:C_0603_1608Metric","~"
"C6","1","3300p","","Capacitor_SMD:C_0603_1608Metric","~"
"C7","1","47n","","Capacitor_SMD:C_0805_2012Metric","~"
"C8,C9,C18,C19","4","10u","","Capacitor_SMD:C_1206_3216Metric","~"
"C11","1","1u","","Capacitor_SMD:C_1206_3216Metric","~"
"D1","1","SS34","","Diode_SMD:D_SMA","~"
"R1","1","10k","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","3k24","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","2k7","","Resistor_SMD:R_0805_2012Metric","~"
"R8","1","120","","Resistor_SMD:R_0805_2012Metric","~"
"U5","1","TPS5430DDA","","Package_SO:TI_SO-PowerPAD-8","http://www.ti.com/lit/ds/symlink/tps5430.pdf"
"U6,U7","2","L78M05AB","","Package_TO_SOT_SMD:TO-252-2","https://www.st.com/resource/en/datasheet/l78m05ab.pdf"
