Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_1206_3216Metric",67.105000,-123.825000,180.000000,top
"C2","10n","C_0805_2012Metric",73.660000,-125.095000,0.000000,top
"C3","22u","C_1206_3216Metric",69.850000,-110.285000,-90.000000,top
"C4","220p","C_0603_1608Metric",62.865000,-115.430000,-90.000000,top
"C5","22u","C_1206_3216Metric",73.660000,-110.285000,-90.000000,top
"C6","3300p","C_0603_1608Metric",63.360000,-108.585000,0.000000,top
"C7","47n","C_0805_2012Metric",62.230000,-111.760000,180.000000,top
"C8","10u","C_1206_3216Metric",104.189000,-108.839000,0.000000,top
"C9","10u","C_1206_3216Metric",104.189000,-119.634000,0.000000,top
"C11","1u","C_1206_3216Metric",137.160000,-156.415000,90.000000,top
"C18","10u","C_1206_3216Metric",134.923000,-188.849000,0.000000,top
"C19","10u","C_1206_3216Metric",134.923000,-199.644000,0.000000,top
"D1","SS34","D_SMA",73.025000,-119.475000,90.000000,top
"R1","10k","R_0805_2012Metric",63.222500,-105.410000,0.000000,top
"R2","3k24","R_0805_2012Metric",55.245000,-115.292500,-90.000000,top
"R3","2k7","R_0805_2012Metric",59.055000,-115.292500,-90.000000,top
"R8","120","R_0805_2012Metric",74.930000,-154.940000,-90.000000,top
"U5","TPS5430DDA","TI_SO-PowerPAD-8",67.310000,-117.635000,-90.000000,top
"U6","L78M05AB","TO-252-2",106.894000,-114.294000,0.000000,top
"U7","L78M05AB","TO-252-2",137.628000,-194.304000,0.000000,top
